file;argcount;prob;ca_sol_n;ca_time_ns;m_sol_n;m_time_ns
T-3-afinput_exp_cycles_depvary_step4_batch_yyy04;;;1;7864473700;1;1204272000
B-3-stb_767_429;;;3;522825800;3;944221300
A-4-grd_7891_3_9;;;1;4120705400;1;3761468800
T-2-afinput_exp_cycles_depvary_step4_batch_yyy03;;;1;2791210700;1;541121600
B-1-admbuster_1000;;;1;41641000;1;37008000
Small-result-b34;;;4;39008300;4;29006100
Small-result-b6;;;2;39008200;2;33006800
Small-result-b97;;;3;42010600;3;34007400
Small-result-b91;;;3;43231100;3;36007600
Small-result-b55;;;7;39007200;7;34008300
B-2-WS_200_20_90_50;;;1;1055237200;1;2000448900
T-2-grd_3018_3_7;;;1;391509400;1;476107300
Small-result-b5;;;2;34007700;2;29006800
T-2-afinput_exp_cycles_indvary1_step1_batch_yyy07;;;1;1406649800;1;301067300
A-2-afinput_exp_cycles_depvary_step4_batch_yyy01;;;2;2580608400;2;510105100
Small-result-b76;;;3;38008100;3;32007100
B-3-stb_339_393;;;10;11236485800;10;20729490000
A-2-afinput_exp_cycles_indvary1_step1_batch_yyy04;;;1;2623178600;1;505112500
A-1-ER_100_100_1;;;1;45009500;1;41010000
A-2-stb_422_250;;;2;6679511500;2;9595144400
B-3-stb_696_368;;;3;2228722000;3;3435772100
T-2-ferry2.pfile-L3-C3-03.pddl.2.cnf;;;102;222916000;102;52010800
A-2-afinput_exp_cycles_indvary3_step1_batch_yyy04;;;1;3549797000;1;696156300
A-4-afinput_exp_acyclic_depvary_step8_batch_yyy09;;;1;26281260100;1;3167711100
C-1-admbuster_1000;;;1;48011200;1;35007300
B-2-stb_291_2;;;3;798288900;3;1558350000
Small-result-b69;;;3;34007700;3;29006500
B-3-stb_430_209;;;2;6007348700;2;8294731200
Small-result-b27;;;2;62578200;2;54013000
T-1-admbuster_6000;;;1;80018100;1;77017200
T-3-afinput_exp_acyclic_depvary_step6_batch_yyy04;;;1;5489223800;1;881461800
B-2-afinput_exp_acyclic_depvary_step8_batch_yyy09;;;1;25898812600;1;3139705500
A-1-admbuster_4000;;;1;55011400;1;60013800
A-2-grd_1948_5_1;;;1;281068400;1;328073700
A-3-afinput_exp_cycles_indvary1_step1_batch_yyy03;;;4;3333916800;4;603136000
Small-result-b47;;;7;40009300;7;31007200
B-1-BA_100_20_1;;;96;42009600;96;33007000
T-1-afinput_exp_acyclic_indvary1_step5_batch_yyy10;;;1;36008700;1;29006000
